Time,Input,Output
1240.369,2.22E-16,49
1241.37,2.22E-16,49
1242.371,2.22E-16,49
1243.372,2.22E-16,49
1244.373,0.0250125,48.75
1245.374,0.037525,48.75
1246.375,0.025025,49
1247.376,0.025025,49
1248.377,0.025025,49
1249.378,0.025025,49
1250.379,0.025025,49
1251.38,0.0500375,48.75
1252.381,0.0375375,49
1253.382,0.0375375,49
1254.383,0.0375375,49
1255.384,0.0375375,49
1256.385,0.0375375,49
1257.386,0.0375375,49
1258.387,0.06255,48.75
1259.388,0.05005,49
1260.389,0.0750625,48.75
1261.39,0.0625625,49
1262.391,0.087575,48.75
1263.392,0.075075,49
1264.393,0.1000875,48.75
1265.394,0.0875875,49
1266.395,0.1126,48.75
1267.396,0.1001,49
1268.397,0.1251125,48.75
1269.398,0.1126125,49
1270.399,0.137625,48.75
1271.4,0.1501375,48.75
1272.401,0.1376375,49
1273.402,0.16265,48.75
1274.403,0.15015,49
1275.404,0.1751625,48.75
1276.405,0.187675,48.75
1277.406,0.175175,49
1278.407,0.175175,49
1279.408,0.2,48.75
1280.409,0.2,48.75
1281.41,0.2,48.75
1282.411,0.2,48.75
1283.412,0.2,48.75
1284.413,0.2,48.75
1285.414,0.2,48.75
1286.415,0.2,48.75
1287.416,0.2,48.75
1288.417,0.2,48.75
1289.418,0.2,48.75
1290.419,0.2,48.75
1291.42,0.2,48.75
1292.421,0.2,48.75
1293.422,0.2,48.75
1294.423,0.2,48.75
1295.424,0.2,48.75
1296.425,0.2,48.75
1297.426,0.2,48.75
1298.427,0.2,48.75
1299.428,0.2,48.75
1300.429,0.2,48.75
1301.43,0.2,48.75
1302.431,0.2,48.75
1303.432,0.2,48.75
1304.433,0.2,48.75
1305.434,0.2,48.75
1306.435,0.2,48.75
1307.436,0.2,48.75
1308.437,0.2,48.75
