Time (s),Heater Duty Cycle,Temperature (C)
1028.156,0.2,42.75
1029.157,0.2,42.75
1030.158,0.2,43
1031.159,0.2,42.75
1032.16,0.2,43
1033.161,0.2,42.75
1034.162,0.2,43
1035.163,0.2,42.75
1036.164,0.2,43
1037.165,0.2,43
1038.166,0.2,43
1039.167,0.2,43
1040.168,0.2,42.75
1041.169,0.2,43
1042.17,0.2,43
1043.171,0.2,43
1044.172,0.2,43
1045.173,0.2,43
1046.174,0.2,43
1047.175,0.2,43
1048.176,0.2,43
1049.177,0.2,43
1050.178,0.2,43
1051.179,0.2,43
1052.18,0.2,43
1053.181,0.2,43
1054.182,0.2,43
1055.183,0.2,43
1056.184,0.2,43
1057.185,0.2,43
1058.186,0.2,43
1059.187,0.2,43
1060.188,0.2,43.25
1061.189,0.2,43.25
1062.19,0.2,43.25
1063.191,0.2,43.25
1064.192,0.2,43.25
1065.193,0.2,43.25
1066.194,0.2,43.25
1067.195,0.2,43.25
1068.196,0.2,43.25
1069.197,0.2,43.25
1070.198,0.2,43.25
1071.199,0.2,43.25
1072.2,0.2,43.25
1073.201,0.2,43.25
1074.202,0.2,43.25
1075.203,0.2,43.25
1076.204,0.2,43.25
1077.205,0.2,43.25
1078.206,0.2,43.25
1079.207,0.2,43.25
1080.208,0.2,43.25
1081.209,0.2,43.25
1082.21,0.2,43.5
1083.211,0.2,43.25
1084.212,0.2,43.5
1085.213,0.2,43.5
1086.214,0.2,43.5
1087.215,0.2,43.5
1088.216,0.2,43.5
1089.217,0.2,43.5
1090.218,0.2,43.5
1091.219,0.2,43.5
1092.22,0.2,43.5
1093.221,0.2,43.5
1094.222,0.2,43.5
1095.223,0.2,43.5
1096.224,0.2,43.5
1097.225,0.2,43.5
1098.226,0.2,43.5
1099.227,0.2,43.5
1100.228,0.2,43.5
1101.229,0.2,43.5
1102.23,0.2,43.75
1103.231,0.2,43.75
1104.232,0.2,43.5
1105.233,0.2,43.75
1106.234,0.2,43.75
1107.235,0.2,43.75
1108.236,0.2,43.75
1109.237,0.2,43.75
1110.238,0.2,43.75
1111.239,0.2,43.75
1112.24,0.2,43.75
1113.241,0.2,43.75
1114.242,0.2,43.75
1115.243,0.2,43.75
1116.244,0.2,43.75
1117.245,0.2,43.75
1118.246,0.2,43.75
1119.247,0.2,43.75
1120.248,0.2,44
1121.249,0.2,44
1122.25,0.2,44
1123.251,0.2,44
1124.252,0.2,44
1125.253,0.2,44
1126.254,0.2,44
1127.255,0.2,44
1128.256,0.2,44
1129.257,0.2,44
1130.258,0.2,44
1131.259,0,44
1132.26,0,44
1133.261,0,44.25
1134.262,0,44
1135.263,0,44
1136.264,0,44.25
1137.265,0,44
1138.266,0,44.25
1139.267,0,44.25
1140.268,0,44.25
1141.269,0,44.25
1142.27,0,44.25
1143.271,0,44.25
1144.272,0,44.25
1145.273,0,44.25
1146.274,0,44.25
1147.275,0,44.25
1148.276,0,44.25
1149.277,0,44.5
1150.278,0,44.25
